"";"cache_id";"reporting_level";"area";"N"
"331";"BLR_1999_HHS_D1_CON_GPWG";"national";"rural";4887
"332";"BLR_1999_HHS_D1_CON_GPWG";"national";"urban";9246
"333";"BLR_2000_HHS_D1_CON_GPWG";"national";"rural";4438
"334";"BLR_2000_HHS_D1_CON_GPWG";"national";"urban";8752
"335";"BLR_2001_HHS_D1_CON_GPWG";"national";"rural";10078
"336";"BLR_2001_HHS_D1_CON_GPWG";"national";"urban";17498
"337";"BLR_2002_HHS_D1_CON_GPWG";"national";"urban";9108
"338";"BLR_2002_HHS_D1_CON_GPWG";"national";"rural";4759
"339";"BLR_2003_HHS_D1_CON_GPWG";"national";"rural";4576
"340";"BLR_2003_HHS_D1_CON_GPWG";"national";"urban";8791
"341";"BLR_2004_HHS_D1_CON_GPWG";"national";"rural";4651
"342";"BLR_2004_HHS_D1_CON_GPWG";"national";"urban";8819
"343";"BLR_2005_HHS_D1_CON_GPWG";"national";"rural";4836
"344";"BLR_2005_HHS_D1_CON_GPWG";"national";"urban";8858
"345";"BLR_2006_HHS_D1_CON_GPWG";"national";"rural";5045
"346";"BLR_2006_HHS_D1_CON_GPWG";"national";"urban";9288
"347";"BLR_2007_HHS_D1_CON_GPWG";"national";"rural";5315
"348";"BLR_2007_HHS_D1_CON_GPWG";"national";"urban";9439
"349";"BLR_2008_HHS_D1_CON_GPWG";"national";"rural";5198
"350";"BLR_2008_HHS_D1_CON_GPWG";"national";"urban";9077
"351";"BLR_2009_HHS_D1_CON_GPWG";"national";"rural";4950
"352";"BLR_2009_HHS_D1_CON_GPWG";"national";"urban";8521
"353";"BLR_2010_HHS_D1_CON_GPWG";"national";"rural";5292
"354";"BLR_2010_HHS_D1_CON_GPWG";"national";"urban";9254
"355";"BLR_2011_HHS_D1_CON_GPWG";"national";"rural";5298
"356";"BLR_2011_HHS_D1_CON_GPWG";"national";"urban";8957
"357";"BLR_2012_HHS_D1_CON_GPWG";"national";"rural";4206
"358";"BLR_2012_HHS_D1_CON_GPWG";"national";"urban";9318
"359";"BLR_2013_HHS_D1_CON_GPWG";"national";"urban";8915
"360";"BLR_2013_HHS_D1_CON_GPWG";"national";"rural";4180
"361";"BLR_2014_HHS_D1_CON_GPWG";"national";"rural";4335
"362";"BLR_2014_HHS_D1_CON_GPWG";"national";"urban";9354
"363";"BLR_2015_HHS_D1_CON_GPWG";"national";"urban";9551
"364";"BLR_2015_HHS_D1_CON_GPWG";"national";"rural";4434
"365";"BLR_2016_HHS_D1_CON_GPWG";"national";"rural";4522
"366";"BLR_2016_HHS_D1_CON_GPWG";"national";"urban";9561
"367";"BLR_2017_HHS_D1_CON_GPWG";"national";"urban";9505
"368";"BLR_2017_HHS_D1_CON_GPWG";"national";"rural";4483
"369";"BLR_2018_HHS_D1_CON_GPWG";"national";"urban";9748
